"PointID","x","y","z"
41648, 3.705011894000000e+01, 3.054674866000000e+00, 3.562711442000000e+00
41649, 3.705024140974403e+01, 3.054713244073296e+00, 3.564263419022561e+00
41650, 3.705035253453283e+01, 3.054742535704527e+00, 3.565671629028728e+00
41651, 3.705043891862577e+01, 3.054765305880472e+00, 3.566766316768989e+00
41652, 3.705049936151615e+01, 3.054781238156926e+00, 3.567532269028584e+00
41653, 3.705054440081378e+01, 3.054793110165971e+00, 3.568103021876193e+00
41654, 3.705057819231663e+01, 3.054802017343665e+00, 3.568531238954675e+00
41655, 3.705060366592620e+01, 3.054808731989292e+00, 3.568854048943871e+00
41656, 3.705062371335325e+01, 3.054814016335356e+00, 3.569108096557146e+00
41657, 3.705064217999995e+01, 3.054818883999995e+00, 3.569342111999994e+00
41658, 3.705041970747958e+01, 3.054822260156060e+00, 3.569417095448516e+00
41659, 3.705015668256888e+01, 3.054826242711429e+00, 3.569505695223316e+00
41660, 3.704984600131492e+01, 3.054830934282556e+00, 3.569610275652340e+00
41661, 3.704947837607003e+01, 3.054836468191163e+00, 3.569733922799686e+00
41662, 3.704903006513019e+01, 3.054843190920046e+00, 3.569884558202072e+00
41663, 3.704847043171451e+01, 3.054851543333308e+00, 3.570072366885157e+00
41664, 3.704776988766083e+01, 3.054861936795221e+00, 3.570307099144984e+00
41665, 3.704689066425077e+01, 3.054874883772592e+00, 3.570601123261763e+00
41666, 3.704578668247574e+01, 3.054890987156129e+00, 3.570969389296752e+00
41667, 3.704440159677504e+01, 3.054910950150503e+00, 3.571429960161331e+00
41668, 3.704267102735115e+01, 3.054935517182826e+00, 3.572003087015074e+00
41669, 3.704052641980602e+01, 3.054965385577425e+00, 3.572709689064553e+00
41670, 3.703789204979723e+01, 3.055001206298465e+00, 3.573572020267421e+00
41671, 3.703466902381638e+01, 3.055043736657965e+00, 3.574618378402574e+00
41672, 3.703072409779244e+01, 3.055093869037710e+00, 3.575885745907494e+00
41673, 3.702589274867777e+01, 3.055152409329688e+00, 3.577417176022943e+00
41674, 3.701996634054856e+01, 3.055220010964659e+00, 3.579266288026550e+00
41675, 3.701267951382339e+01, 3.055296694029558e+00, 3.581500758833275e+00
41676, 3.700372017401728e+01, 3.055380803776446e+00, 3.584192890347265e+00
41677, 3.699271986488740e+01, 3.055467932986337e+00, 3.587422121237189e+00
41678, 3.697923962123283e+01, 3.055551554414377e+00, 3.591276801568553e+00
41679, 3.696283472995764e+01, 3.055625850768562e+00, 3.595832222647233e+00
41680, 3.694320893929925e+01, 3.055680795014585e+00, 3.601114822431168e+00
41681, 3.691994410085450e+01, 3.055694455835047e+00, 3.607189915652068e+00
41682, 3.689241674127310e+01, 3.055641884508626e+00, 3.614165494813296e+00
41683, 3.685986493584906e+01, 3.055493947438150e+00, 3.622167922408742e+00
41684, 3.682135293729413e+01, 3.055214056460686e+00, 3.631355667635107e+00
41685, 3.677570082352051e+01, 3.054740313708602e+00, 3.641926116150122e+00
41686, 3.672134563328499e+01, 3.053991732838818e+00, 3.654142951328930e+00
41687, 3.665605961852521e+01, 3.052858863481125e+00, 3.668386489213927e+00
41688, 3.657668185050444e+01, 3.051190017162761e+00, 3.685184331374256e+00
41689, 3.647991879174685e+01, 3.048840735568805e+00, 3.705048706058391e+00
41690, 3.636133053391103e+01, 3.045676961277111e+00, 3.728670179038610e+00
41691, 3.622202807795238e+01, 3.041726840311995e+00, 3.755605048911149e+00
41692, 3.606747666978929e+01, 3.036917558977160e+00, 3.784608825221062e+00
41693, 3.590118137604771e+01, 3.032035802574461e+00, 3.815080236567161e+00
41694, 3.572701171562368e+01, 3.028459809375150e+00, 3.846518782956017e+00
41695, 3.554668196082822e+01, 3.025910829355378e+00, 3.878545203214919e+00
41696, 3.536033382173848e+01, 3.024305847426237e+00, 3.911117685009619e+00
41697, 3.516951843807419e+01, 3.022691797613122e+00, 3.943803122792209e+00
41698, 3.497525461539089e+01, 3.020973832773018e+00, 3.976423345962382e+00
41699, 3.477912313865237e+01, 3.019373389350049e+00, 4.008764961517956e+00
41700, 3.458079383787495e+01, 3.017960133874396e+00, 4.040899693260187e+00
41701, 3.438076896892084e+01, 3.016811657297673e+00, 4.072757973661336e+00
41702, 3.418023289043145e+01, 3.015867923252688e+00, 4.104140710617284e+00
41703, 3.398028216326273e+01, 3.015134526934846e+00, 4.134874261118431e+00
41704, 3.378174239675171e+01, 3.014606154782524e+00, 4.164839172968426e+00
41705, 3.358572511079591e+01, 3.014271715702801e+00, 4.193877088623910e+00
41706, 3.339070048300328e+01, 3.014113291592873e+00, 4.222220800343142e+00
41707, 3.319879229787775e+01, 3.014122935532087e+00, 4.249580610376203e+00
41708, 3.300942002581260e+01, 3.014271714160579e+00, 4.276064920055999e+00
41709, 3.282040669409706e+01, 3.014520724012903e+00, 4.301997915210837e+00
41710, 3.263265845165608e+01, 3.014856611362593e+00, 4.327284096437476e+00
41711, 3.244673365001102e+01, 3.015269232924326e+00, 4.351890077447073e+00
41712, 3.226358526004012e+01, 3.015748412450184e+00, 4.375736723343109e+00
41713, 3.208195654894234e+01, 3.016288896243812e+00, 4.399038149034407e+00
41714, 3.189811396057845e+01, 3.016900951114417e+00, 4.422307784589684e+00
41715, 3.170938148967997e+01, 3.017598680634040e+00, 4.445898839729725e+00
41716, 3.151427468250252e+01, 3.018392339576606e+00, 4.470002612068139e+00
41717, 3.131291116503617e+01, 3.019291495407804e+00, 4.494603149327642e+00
41718, 3.110699140642359e+01, 3.020291828056896e+00, 4.519489967902770e+00
41719, 3.089862516721899e+01, 3.021386668331238e+00, 4.544405789643260e+00
41720, 3.068903544718237e+01, 3.022569595802945e+00, 4.569204676092711e+00
41721, 3.047866183100569e+01, 3.023836330687249e+00, 4.593835161073716e+00
41722, 3.026772098914639e+01, 3.025182987014969e+00, 4.618273240260944e+00
41723, 3.005639659740821e+01, 3.026603625424012e+00, 4.642501312686246e+00
41724, 2.984486946257769e+01, 3.028078392344176e+00, 4.666493072642623e+00
41725, 2.963331873992462e+01, 3.029575473586247e+00, 4.690209233833306e+00
41726, 2.942192064422066e+01, 3.031025040375468e+00, 4.713588903684903e+00
41727, 2.921084883653987e+01, 3.032431362471082e+00, 4.736546890847205e+00
41728, 2.900027365549358e+01, 3.033882143639790e+00, 4.758966008839812e+00
41729, 2.879036243918917e+01, 3.035457604843095e+00, 4.780704563194581e+00
41730, 2.858127483652159e+01, 3.037178819502872e+00, 4.801549162055671e+00
41731, 2.837316822534738e+01, 3.038994364375084e+00, 4.821261426956232e+00
41732, 2.816619982775323e+01, 3.040836765862770e+00, 4.839585283434173e+00
41733, 2.796052393974901e+01, 3.042600063885490e+00, 4.856202040273166e+00
41734, 2.775630301848227e+01, 3.044231979040681e+00, 4.870828086937022e+00
41735, 2.755370114377348e+01, 3.045707776941917e+00, 4.883113986211008e+00
41736, 2.735289241063996e+01, 3.047006382984097e+00, 4.892722768662074e+00
41737, 2.715405797492923e+01, 3.048106811442066e+00, 4.899211585467358e+00
41738, 2.695741294280757e+01, 3.049003585150643e+00, 4.902208460751100e+00
41739, 2.676335050830537e+01, 3.049651801908053e+00, 4.901183004793148e+00
41740, 2.657260879366104e+01, 3.050060471030839e+00, 4.895705195152856e+00
41741, 2.638632426322410e+01, 3.050258808479156e+00, 4.885279942546761e+00
41742, 2.620563647831419e+01, 3.050219239984623e+00, 4.869515070503958e+00
41743, 2.603105657596871e+01, 3.049993077283844e+00, 4.847860807709272e+00
41744, 2.586313663034223e+01, 3.049770057732877e+00, 4.819581638893245e+00
41745, 2.570460702315563e+01, 3.049967360204504e+00, 4.783936692063702e+00
41746, 2.556262162641919e+01, 3.050849457041287e+00, 4.741413161982256e+00
41747, 2.544714647495830e+01, 3.051870749786480e+00, 4.695287874286405e+00
41748, 2.536180579904583e+01, 3.052553360226269e+00, 4.649772872672741e+00
41749, 2.530198475124139e+01, 3.053072477323726e+00, 4.606689724224427e+00
41750, 2.526170894897331e+01, 3.053528233466604e+00, 4.566314318955385e+00
41751, 2.523723037581607e+01, 3.053916591685781e+00, 4.530207174711039e+00
41752, 2.522393794259778e+01, 3.054204800934551e+00, 4.498283629092713e+00
41753, 2.521794270600000e+01, 3.054400799999989e+00, 4.466109685999998e+00
43000, 2.521935316361704e+01, 3.054501449031573e+00, 4.433419491108065e+00
43001, 2.522824208000180e+01, 3.054499954269596e+00, 4.400222583732728e+00
43002, 2.524618414924049e+01, 3.054357881023595e+00, 4.363458104830427e+00
43003, 2.527588275826510e+01, 3.054012615394317e+00, 4.321612735424828e+00
43004, 2.531981077269392e+01, 3.053402335934502e+00, 4.274366545380219e+00
43005, 2.538160640244275e+01, 3.052478478738931e+00, 4.220383618283550e+00
43006, 2.546601826139305e+01, 3.051193734980539e+00, 4.158153663505496e+00
43007, 2.557559057814637e+01, 3.049599415565289e+00, 4.088305966856081e+00
43008, 2.570696357947503e+01, 3.048306660905119e+00, 4.014885230225486e+00
43009, 2.585453445344049e+01, 3.046927798398106e+00, 3.941405488888892e+00
43010, 2.601289713552090e+01, 3.045408974216127e+00, 3.870405805989179e+00
43011, 2.617907835046086e+01, 3.044258899988238e+00, 3.802864526205607e+00
43012, 2.635307530945087e+01, 3.043945224541625e+00, 3.738298699772112e+00
43013, 2.653397525209163e+01, 3.044479888074911e+00, 3.676405193012857e+00
43014, 2.672004711622461e+01, 3.045167336418587e+00, 3.616897414845973e+00
43015, 2.690975852190789e+01, 3.045968180890269e+00, 3.559725756105327e+00
43016, 2.710141091572279e+01, 3.046810884713201e+00, 3.505022166000186e+00
43017, 2.729423893914287e+01, 3.047678138184922e+00, 3.452824690561056e+00
43018, 2.748798675244326e+01, 3.048529421764541e+00, 3.403222434009565e+00
43019, 2.768258312776734e+01, 3.049330557230215e+00, 3.356338759858513e+00
43020, 2.787801615218612e+01, 3.050041862451322e+00, 3.312376026702189e+00
43021, 2.807426755521358e+01, 3.050629566959180e+00, 3.271546893929091e+00
43022, 2.827129740049496e+01, 3.051181708230615e+00, 3.234004177418353e+00
43023, 2.846906694871331e+01, 3.051734421720117e+00, 3.199947365651325e+00
43024, 2.866750308428631e+01, 3.052254486735718e+00, 3.169413254805725e+00
43025, 2.886651701259017e+01, 3.052726406483464e+00, 3.142335272063979e+00
43026, 2.906604441191363e+01, 3.053139197802416e+00, 3.118820543704903e+00
43027, 2.926599094499117e+01, 3.053461316635205e+00, 3.098720557939029e+00
43028, 2.946627251031454e+01, 3.053690908860034e+00, 3.081931187083069e+00
43029, 2.966681403248720e+01, 3.053834146295069e+00, 3.068366735024951e+00
43030, 2.986754079125427e+01, 3.053868607900633e+00, 3.057909034105153e+00
43031, 3.006839131743673e+01, 3.053822227197817e+00, 3.050564694108328e+00
43032, 3.026932146575971e+01, 3.053767011247718e+00, 3.046034221359534e+00
43033, 3.047043537296762e+01, 3.053752575051706e+00, 3.044276396093053e+00
43034, 3.067206899762505e+01, 3.053799115646978e+00, 3.045146012760437e+00
43035, 3.087461301283085e+01, 3.053879452574415e+00, 3.048399637783824e+00
43036, 3.107819672272271e+01, 3.053966733099140e+00, 3.053895248478329e+00
43037, 3.128274256201838e+01, 3.054007697694658e+00, 3.061459640056810e+00
43038, 3.148830870975250e+01, 3.053963477643521e+00, 3.070861149632023e+00
43039, 3.169500858045761e+01, 3.053829141003433e+00, 3.081942850591219e+00
43040, 3.190228982088735e+01, 3.053623638348322e+00, 3.094523575059042e+00
43041, 3.210844367568203e+01, 3.053351232751782e+00, 3.108302382605519e+00
43042, 3.231153232854507e+01, 3.053018682459125e+00, 3.122972058499310e+00
43043, 3.251178448499350e+01, 3.052637852744689e+00, 3.138391618553625e+00
43044, 3.271059761622500e+01, 3.052221349410069e+00, 3.154533426377369e+00
43045, 3.290845853256585e+01, 3.051774182207466e+00, 3.171345008476548e+00
43046, 3.310553029428293e+01, 3.051292355670953e+00, 3.188771411224397e+00
43047, 3.330307784783622e+01, 3.050783771073700e+00, 3.206877672785645e+00
43048, 3.350001969109118e+01, 3.050282880491677e+00, 3.225541307892049e+00
43049, 3.369834671666596e+01, 3.049799489213644e+00, 3.244949097149298e+00
43050, 3.389639781332703e+01, 3.049350550871161e+00, 3.264944230052140e+00
43051, 3.409462152457505e+01, 3.048946852451217e+00, 3.285579148950755e+00
43052, 3.429356298710101e+01, 3.048572717048224e+00, 3.306915274918477e+00
43053, 3.449264177803918e+01, 3.048217259977839e+00, 3.328867026079430e+00
43054, 3.469159498802784e+01, 3.047887525208373e+00, 3.351346465166347e+00
43055, 3.489018349463947e+01, 3.047592517042160e+00, 3.374224166840326e+00
43056, 3.508788303782455e+01, 3.047280248574181e+00, 3.397233916928427e+00
43057, 3.528397670807263e+01, 3.046867537916150e+00, 3.420038162292179e+00
43058, 3.547782217564670e+01, 3.046281712526669e+00, 3.442231071289910e+00
43059, 3.566911881297535e+01, 3.046110922437692e+00, 3.463552412077199e+00
43060, 3.585759591980167e+01, 3.046720543308722e+00, 3.483674076031163e+00
43061, 3.604171315406833e+01, 3.048546156031192e+00, 3.502103818778290e+00
43062, 3.621697384833985e+01, 3.050725109916096e+00, 3.517937014377212e+00
43063, 3.637577025447287e+01, 3.052384633783898e+00, 3.530254989817962e+00
43064, 3.651089101456812e+01, 3.053665341123688e+00, 3.538980908360282e+00
43065, 3.661972156941339e+01, 3.054539757863216e+00, 3.544638954729830e+00
43066, 3.670551880667684e+01, 3.055046420765129e+00, 3.548188430100606e+00
43067, 3.677407673269228e+01, 3.055295607346904e+00, 3.550420869976512e+00
43068, 3.682931488262854e+01, 3.055392110886207e+00, 3.551845782948133e+00
43069, 3.687366188895150e+01, 3.055393689919314e+00, 3.552778245664786e+00
43070, 3.690908832147825e+01, 3.055338098418785e+00, 3.553409559553906e+00
43071, 3.693739034276888e+01, 3.055254871942271e+00, 3.553864812958413e+00
43072, 3.696004781922441e+01, 3.055162487275584e+00, 3.554214243538371e+00
43073, 3.697820563609233e+01, 3.055068163572676e+00, 3.554506067165041e+00
43074, 3.699276346612194e+01, 3.054979507618085e+00, 3.554754092032319e+00
43075, 3.700443733922192e+01, 3.054899950335591e+00, 3.554970863773902e+00
43076, 3.701379863060976e+01, 3.054831153017909e+00, 3.555160414069861e+00
43077, 3.702130504356752e+01, 3.054773370094835e+00, 3.555324339821040e+00
43078, 3.702732402203287e+01, 3.054725781922996e+00, 3.555465211811928e+00
43079, 3.703215013640568e+01, 3.054687228471205e+00, 3.555586813171084e+00
43080, 3.703601814003304e+01, 3.054656008532066e+00, 3.555689513729070e+00
43081, 3.703911441978252e+01, 3.054630757944437e+00, 3.555774788186420e+00
43082, 3.704157916573691e+01, 3.054610465135914e+00, 3.555844466429674e+00
43083, 3.704351999830565e+01, 3.054594352082806e+00, 3.555900379518993e+00
43084, 3.704503293017082e+01, 3.054581703189248e+00, 3.555944568183043e+00
43085, 3.704620561803162e+01, 3.054571842563232e+00, 3.555979165510777e+00
43086, 3.704711258452976e+01, 3.054564181079134e+00, 3.556006122796040e+00
43087, 3.704781333256973e+01, 3.054558239908727e+00, 3.556027066193463e+00
43088, 3.704835411893104e+01, 3.054553641710816e+00, 3.556043295881432e+00
43089, 3.704877531059303e+01, 3.054550052271810e+00, 3.556055976079219e+00
43090, 3.704911169286564e+01, 3.054547180402629e+00, 3.556066127624738e+00
43091, 3.704938236098668e+01, 3.054544866190154e+00, 3.556074311658363e+00
43092, 3.704959570000000e+01, 3.054543040000000e+00, 3.556080772000000e+00
43093, 3.704961248757657e+01, 3.054547465074807e+00, 3.556293509712548e+00
43094, 3.704963014566651e+01, 3.054552119610159e+00, 3.556517278856787e+00
43095, 3.704965089819304e+01, 3.054557589814976e+00, 3.556780261723872e+00
43096, 3.704967724688228e+01, 3.054564535124807e+00, 3.557114161011500e+00
43097, 3.704971122165691e+01, 3.054573490611496e+00, 3.557544700569059e+00
43098, 3.704975534270780e+01, 3.054585120577838e+00, 3.558103817091273e+00
43099, 3.704981384290657e+01, 3.054600540775862e+00, 3.558845150920652e+00
43100, 3.704989248170981e+01, 3.054621269353608e+00, 3.559841687793633e+00
43101, 3.704999645037620e+01, 3.054648674686546e+00, 3.561159213054121e+00
45856, 3.705067469982063e+01, 3.055046956515579e+00, 3.569387425657862e+00
45857, 3.705071301665664e+01, 3.055315683306838e+00, 3.569440816395481e+00
