"PointID","x","y","z"
0, 6.444019813891619e+01, 1.066800000000000e+01, 7.716192250569166e+00
1, 6.444019538967686e+01, 1.066800000000000e+01, 7.716032844088337e+00
2, 6.444019442516439e+01, 1.066800000000000e+01, 7.715815131272773e+00
3, 6.444019839155779e+01, 1.066800000000000e+01, 7.715513079337151e+00
4, 6.444021505113110e+01, 1.066800000000000e+01, 7.715074840033704e+00
5, 6.444025889307751e+01, 1.066800000000000e+01, 7.714473101135482e+00
6, 6.444036718745213e+01, 1.066800000000000e+01, 7.713590896057139e+00
7, 6.444060251769245e+01, 1.066800000000000e+01, 7.712381471877402e+00
8, 6.444108519893091e+01, 1.066800000000000e+01, 7.710747645121971e+00
9, 6.444191225314265e+01, 1.066800000000000e+01, 7.708793310266445e+00
10, 6.444327345694809e+01, 1.066800000000000e+01, 7.706448112995368e+00
11, 6.444550101443168e+01, 1.066800000000000e+01, 7.703587313466731e+00
12, 6.444897071614108e+01, 1.066800000000000e+01, 7.700211502265492e+00
13, 6.445403499566268e+01, 1.066800000000000e+01, 7.696401977283957e+00
14, 6.446089266897425e+01, 1.066800000000000e+01, 7.692300020163920e+00
15, 6.446949548191353e+01, 1.066800000000000e+01, 7.688067348695518e+00
16, 6.448002352666454e+01, 1.066800000000000e+01, 7.683681720067161e+00
17, 6.449299340609193e+01, 1.066800000000000e+01, 7.679029263315206e+00
18, 6.450913205886228e+01, 1.066800000000000e+01, 7.674012844900048e+00
19, 6.452923061747036e+01, 1.066800000000000e+01, 7.668603832040694e+00
20, 6.455432228788523e+01, 1.066800000000000e+01, 7.662781642155966e+00
21, 6.458589839496821e+01, 1.066800000000000e+01, 7.656512613532803e+00
22, 6.462604178418408e+01, 1.066800000000000e+01, 7.649783464704206e+00
23, 6.467784011488737e+01, 1.066800000000000e+01, 7.642596049194891e+00
24, 6.474329349798654e+01, 1.066800000000000e+01, 7.635275685635754e+00
25, 6.481984024657361e+01, 1.066800000000000e+01, 7.628607663848397e+00
26, 6.490379184896682e+01, 1.066800000000000e+01, 7.623165015446716e+00
27, 6.499330501491150e+01, 1.066800000000000e+01, 7.618991035640134e+00
28, 6.508694974349270e+01, 1.066800000000000e+01, 7.615738965473372e+00
29, 6.518320343987018e+01, 1.066800000000000e+01, 7.613093067824955e+00
30, 6.528057383912864e+01, 1.066800000000000e+01, 7.611091094668827e+00
31, 6.537764524790039e+01, 1.066800000000000e+01, 7.609913927733728e+00
32, 6.547320373344662e+01, 1.066800000000000e+01, 7.609671568017916e+00
33, 6.556566010985131e+01, 1.066800000000000e+01, 7.610430406088821e+00
34, 6.565432960236741e+01, 1.066800000000000e+01, 7.612148906089193e+00
35, 6.573778069800719e+01, 1.066800000000000e+01, 7.614616164603062e+00
36, 6.581563920465948e+01, 1.066800000000000e+01, 7.617576737519812e+00
37, 6.588861638015339e+01, 1.066800000000000e+01, 7.620855378315341e+00
38, 6.595626293481074e+01, 1.066800000000000e+01, 7.624272396058669e+00
39, 6.601813240252287e+01, 1.066800000000000e+01, 7.627668206181262e+00
40, 6.607502572291479e+01, 1.066800000000000e+01, 7.630978783499770e+00
41, 6.612725678822514e+01, 1.066800000000000e+01, 7.634143822747125e+00
42, 6.617489677095836e+01, 1.066800000000000e+01, 7.637104086133503e+00
43, 6.621953730286340e+01, 1.066800000000000e+01, 7.639914497367077e+00
44, 6.626136094881265e+01, 1.066800000000000e+01, 7.642561270698847e+00
45, 6.630022046013150e+01, 1.066800000000000e+01, 7.645020952661385e+00
46, 6.633665089976468e+01, 1.066800000000000e+01, 7.647323134976734e+00
47, 6.637027033963618e+01, 1.066800000000000e+01, 7.649443664493557e+00
48, 6.640167134951601e+01, 1.066800000000000e+01, 7.651421134237807e+00
49, 6.643087884166168e+01, 1.066800000000000e+01, 7.653258794517070e+00
50, 6.645810489753225e+01, 1.066800000000000e+01, 7.654970965208650e+00
51, 6.648377586867903e+01, 1.066800000000000e+01, 7.656585784934812e+00
52, 6.650780944608695e+01, 1.066800000000000e+01, 7.658098039332005e+00
53, 6.653035730396127e+01, 1.066800000000000e+01, 7.659516845321345e+00
54, 6.655146412943758e+01, 1.066800000000000e+01, 7.660844427327010e+00
55, 6.657121542598045e+01, 1.066800000000000e+01, 7.662084772425146e+00
56, 6.658961072109241e+01, 1.066800000000000e+01, 7.663236994715782e+00
57, 6.660677068091758e+01, 1.066800000000000e+01, 7.664309225739710e+00
58, 6.662245132640965e+01, 1.066800000000000e+01, 7.665286493864307e+00
59, 6.663624851492331e+01, 1.066800000000000e+01, 7.666144672234814e+00
60, 6.664805412670110e+01, 1.066800000000000e+01, 7.666878442592036e+00
61, 6.665808336263935e+01, 1.066800000000000e+01, 7.667502941676972e+00
62, 6.666660782995797e+01, 1.066800000000000e+01, 7.668035707411491e+00
63, 6.667384488555717e+01, 1.066800000000000e+01, 7.668491682927892e+00
64, 6.668002517804636e+01, 1.066800000000000e+01, 7.668886427650405e+00
65, 6.668532935387161e+01, 1.066800000000000e+01, 7.669233388732779e+00
66, 6.668993556667273e+01, 1.066800000000000e+01, 7.669545202220731e+00
67, 6.669403424100743e+01, 1.066800000000000e+01, 7.669830578886808e+00
68, 6.669785551807308e+01, 1.066800091021592e+01, 7.670114028870639e+00
69, 6.669581410450253e+01, 1.066355122448442e+01, 7.669599582865683e+00
70, 6.669325274497544e+01, 1.065796771457625e+01, 7.668967093099721e+00
71, 6.668983576609219e+01, 1.065051903927365e+01, 7.668123320817348e+00
72, 6.668531662686806e+01, 1.064066776366502e+01, 7.667007386377074e+00
73, 6.667936036276694e+01, 1.062768369826061e+01, 7.665536575252181e+00
74, 6.667153257527242e+01, 1.061061989734858e+01, 7.663603619168502e+00
75, 6.666125391766644e+01, 1.058821344250366e+01, 7.661065457042170e+00
76, 6.664776348400984e+01, 1.055880563419330e+01, 7.657734194431089e+00
77, 6.663007314137147e+01, 1.052024244056314e+01, 7.653365826555852e+00
78, 6.660690992499754e+01, 1.046974892461578e+01, 7.647646013640781e+00
79, 6.657665640184298e+01, 1.040379924261966e+01, 7.640175354572010e+00
80, 6.653735499867463e+01, 1.031812607894501e+01, 7.630470455658413e+00
81, 6.648706184056805e+01, 1.020849197891754e+01, 7.618051305803152e+00
82, 6.642497248272959e+01, 1.007314333261701e+01, 7.602719259289414e+00
83, 6.635270958452124e+01, 9.915617376627941e+00, 7.584875007792556e+00
84, 6.627387947183628e+01, 9.743775543968214e+00, 7.565409080032224e+00
85, 6.619197141195075e+01, 9.565224091472103e+00, 7.545183098837794e+00
86, 6.610900246284859e+01, 9.384360005630354e+00, 7.524695146777798e+00
87, 6.602571197348817e+01, 9.202794993894083e+00, 7.504127795117501e+00
88, 6.594227236002209e+01, 9.020904906387365e+00, 7.483523619469901e+00
89, 6.585871706932119e+01, 8.838762653973733e+00, 7.462890879043948e+00
90, 6.577506352016954e+01, 8.656406207876049e+00, 7.442233875150154e+00
91, 6.569132879313435e+01, 8.473872802037942e+00, 7.421556825581390e+00
92, 6.560753003539351e+01, 8.291199815607701e+00, 7.400863964579047e+00
93, 6.552368444718059e+01, 8.108424743389788e+00, 7.380159539485835e+00
94, 6.543980926812941e+01, 7.925585166077241e+00, 7.359447807373760e+00
95, 6.535592176354359e+01, 7.742718720320857e+00, 7.338733031653628e+00
96, 6.527203921061744e+01, 7.559863068691703e+00, 7.318019478672439e+00
97, 6.518817735632763e+01, 7.377052538038349e+00, 7.297311036912665e+00
98, 6.510434060200029e+01, 7.194296722815464e+00, 7.276608793216544e+00
99, 6.502049929090387e+01, 7.011530974287595e+00, 7.255905424293847e+00
100, 6.493657516189019e+01, 6.828584690908352e+00, 7.235181604714166e+00
101, 6.485248905805388e+01, 6.645285318469369e+00, 7.214417787853126e+00
102, 6.476821838778741e+01, 6.461583609505379e+00, 7.193608395048153e+00
103, 6.468322123413412e+01, 6.276298238761158e+00, 7.172619607940094e+00
104, 6.459746002080266e+01, 6.089347293645827e+00, 7.151442147620829e+00
105, 6.451077821758398e+01, 5.900389553817718e+00, 7.130037361275623e+00
106, 6.442347214170029e+01, 5.710070961452695e+00, 7.108478420049932e+00
107, 6.433661066917827e+01, 5.520721560350603e+00, 7.087029267033655e+00
108, 6.424913244101020e+01, 5.330027693067890e+00, 7.065427815353294e+00
109, 6.416108494504408e+01, 5.138092878406612e+00, 7.043685791428956e+00
110, 6.407356342098265e+01, 4.947304630367572e+00, 7.022073648469548e+00
111, 6.398643266778325e+01, 4.757368224077680e+00, 7.000558000581774e+00
112, 6.390064278603604e+01, 4.570354784657451e+00, 6.979373461022222e+00
113, 6.381613268733685e+01, 4.386131145440265e+00, 6.958504944915039e+00
114, 6.373267640218128e+01, 4.204204715302883e+00, 6.937896652440863e+00
115, 6.364982850091528e+01, 4.023604501746633e+00, 6.917438591349605e+00
116, 6.356698059964921e+01, 3.843004288190386e+00, 6.896980530258342e+00
117, 6.348413269838318e+01, 3.662404074634143e+00, 6.876522469167082e+00
118, 6.340128479711716e+01, 3.481803861077901e+00, 6.856064408075826e+00
119, 6.331843689585112e+01, 3.301203647521658e+00, 6.835606346984565e+00
120, 6.323560358106876e+01, 3.120635231054138e+00, 6.815151887809220e+00
121, 6.315286438025336e+01, 2.940271973706785e+00, 6.794720668682885e+00
122, 6.307047772115718e+01, 2.760677222366258e+00, 6.774376504508074e+00
123, 6.298883632409378e+01, 2.582707068392995e+00, 6.754216371744597e+00
124, 6.290840892418382e+01, 2.407383307892765e+00, 6.734356017582027e+00
125, 6.282964382941385e+01, 2.235683207843711e+00, 6.714906145031985e+00
126, 6.275345319382870e+01, 2.069595173658267e+00, 6.696091997014187e+00
127, 6.268022332780010e+01, 1.909961323658959e+00, 6.678008967148323e+00
128, 6.261034117601626e+01, 1.757625158915249e+00, 6.660752605689127e+00
129, 6.254507436428386e+01, 1.615349978049062e+00, 6.644635934038437e+00
130, 6.248614554526474e+01, 1.486890993128102e+00, 6.630084335734729e+00
131, 6.243559129574030e+01, 1.376687739686934e+00, 6.617600713224211e+00
132, 6.239418349453553e+01, 1.286422837061764e+00, 6.607375670540487e+00
133, 6.236038109397292e+01, 1.212736954051684e+00, 6.599028668803889e+00
134, 6.233256433353196e+01, 1.152099173259271e+00, 6.592159732164991e+00
135, 6.230939353444556e+01, 1.101589127750268e+00, 6.586438046811481e+00
136, 6.228992559356359e+01, 1.059150946130037e+00, 6.581630727400873e+00
137, 6.227348953446895e+01, 1.023321966310918e+00, 6.577572086253429e+00
138, 6.225957978672317e+01, 9.930000948451172e-01, 6.574137280243879e+00
139, 6.224781740383593e+01, 9.673592659417400e-01, 6.571232734153892e+00
140, 6.223792514461245e+01, 9.457951212740773e-01, 6.568789987380202e+00
141, 6.222969037781684e+01, 9.278441458221164e-01, 6.566756533791127e+00
142, 6.222291735214881e+01, 9.130796211524981e-01, 6.565084035504848e+00
143, 6.221739740330204e+01, 9.010466797585371e-01, 6.563720965964133e+00
144, 6.221291617649822e+01, 8.912780494686083e-01, 6.562614393434045e+00
145, 6.220927850042524e+01, 8.833482761661293e-01, 6.561716123252258e+00
146, 6.220631720902922e+01, 8.768929544216556e-01, 6.560984876239800e+00
147, 6.220386634099070e+01, 8.715503050075993e-01, 6.560379670709033e+00
148, 6.220168033926927e+01, 8.667850379134268e-01, 6.559839869988929e+00
149, 6.219948895638669e+01, 8.620080404210960e-01, 6.559298740470820e+00
150, 6.219440062613402e+01, 8.633055768115019e-01, 6.558715661312755e+00
151, 6.218924733074142e+01, 8.646188707239909e-01, 6.558129896205558e+00
152, 6.218322917380819e+01, 8.661515763924360e-01, 6.557451155810523e+00
153, 6.217566295894899e+01, 8.680770284243062e-01, 6.556605570199920e+00
154, 6.216614269729433e+01, 8.704969212163765e-01, 6.555561791393252e+00
155, 6.215411961838272e+01, 8.735479768225708e-01, 6.554284998130033e+00
156, 6.213892522567609e+01, 8.773977470405202e-01, 6.552692526210699e+00
157, 6.211953104877965e+01, 8.823019613721907e-01, 6.550671778880798e+00
158, 6.209436346678818e+01, 8.886489630896415e-01, 6.548052330137230e+00
159, 6.206175054284027e+01, 8.968468054614278e-01, 6.544650005576736e+00
160, 6.202137035035528e+01, 9.069519565790688e-01, 6.540429410343457e+00
161, 6.197525057314222e+01, 9.184295487961825e-01, 6.535606931523121e+00
162, 6.192631965287149e+01, 9.305288928351642e-01, 6.530492469302156e+00
163, 6.187626939521139e+01, 9.428173470037228e-01, 6.525264133856144e+00
164, 6.182548727330816e+01, 9.551910839469292e-01, 6.519960361460568e+00
165, 6.177400183339277e+01, 9.676367537513548e-01, 6.514581849252295e+00
166, 6.172191856854438e+01, 9.801226458021400e-01, 6.509137908162984e+00
167, 6.166953904942065e+01, 9.925685015225713e-01, 6.503659593365086e+00
168, 6.161723274672476e+01, 1.004883802568140e+00, 6.498185489814158e+00
169, 6.156503939242153e+01, 1.017056107985536e+00, 6.492718464270592e+00
170, 6.151267690917965e+01, 1.029145853234991e+00, 6.487229349137101e+00
171, 6.145982406013442e+01, 1.041222721231010e+00, 6.481682752788373e+00
172, 6.140624558926227e+01, 1.053334869202650e+00, 6.476053232265174e+00
173, 6.135191186132903e+01, 1.065482844937254e+00, 6.470336326168839e+00
174, 6.129713551563763e+01, 1.077591080050725e+00, 6.464564190647368e+00
175, 6.124244123294960e+01, 1.089542335108342e+00, 6.458790543163849e+00
176, 6.118818287864618e+01, 1.101259593625901e+00, 6.453052911609173e+00
177, 6.113440630291453e+01, 1.112732585687901e+00, 6.447357743726338e+00
178, 6.108107951763301e+01, 1.123962085753860e+00, 6.441703158540198e+00
179, 6.102822141369649e+01, 1.134936682935831e+00, 6.436093709475904e+00
180, 6.097579088023365e+01, 1.145656520131086e+00, 6.430528383541951e+00
181, 6.092358397458850e+01, 1.156152807208600e+00, 6.424988898215183e+00
182, 6.087119388705877e+01, 1.166492976559675e+00, 6.419436851897934e+00
183, 6.081824131061875e+01, 1.176732154326795e+00, 6.413835111792137e+00
184, 6.076466244859183e+01, 1.186868636812433e+00, 6.408180685687306e+00
185, 6.071065502272780e+01, 1.196872815846751e+00, 6.402500656275848e+00
186, 6.065659864862678e+01, 1.206627928749877e+00, 6.396836173250970e+00
187, 6.060274830536445e+01, 1.215899221568325e+00, 6.391204680515918e+00
188, 6.054884844985466e+01, 1.224557884631776e+00, 6.385570530015257e+00
189, 6.049446194301921e+01, 1.232812462668970e+00, 6.379900430105419e+00
190, 6.043951817099101e+01, 1.240959370961271e+00, 6.374209809157170e+00
191, 6.038423994888660e+01, 1.248144115380231e+00, 6.368470377206501e+00
192, 6.032900048730775e+01, 1.253055019908146e+00, 6.362636752856633e+00
193, 6.027422495762222e+01, 1.255541131343486e+00, 6.356743811955639e+00
194, 6.021995651159454e+01, 1.256713792558849e+00, 6.350868557277041e+00
195, 6.016570685900296e+01, 1.256973180183942e+00, 6.344983696039947e+00
196, 6.011100078587585e+01, 1.256712631654887e+00, 6.339065810543667e+00
197, 6.005579023670326e+01, 1.256445502150937e+00, 6.333147837893990e+00
198, 6.000039289711000e+01, 1.256594867641135e+00, 6.327297554073083e+00
199, 5.994523217600302e+01, 1.256899682186229e+00, 6.321543164462255e+00
200, 5.989052738472456e+01, 1.257187660325103e+00, 6.315895320247199e+00
201, 5.983568600201648e+01, 1.257817951473061e+00, 6.310321084954168e+00
202, 5.978033911192462e+01, 1.259246184871345e+00, 6.304820881236760e+00
203, 5.972438427723675e+01, 1.261797668204784e+00, 6.299415225883717e+00
204, 5.966820100055361e+01, 1.265551758097682e+00, 6.294156086450687e+00
205, 5.961255662906437e+01, 1.270378908685508e+00, 6.289114205839486e+00
206, 5.955692410174719e+01, 1.276156745551657e+00, 6.284233100405402e+00
207, 5.950103526303392e+01, 1.282726063022912e+00, 6.279481487151308e+00
208, 5.944461822754207e+01, 1.289926079663692e+00, 6.274827725499616e+00
209, 5.938834417703906e+01, 1.297486831735984e+00, 6.270317726002538e+00
210, 5.933235520471136e+01, 1.305271140176531e+00, 6.265956619034958e+00
211, 5.927659672360039e+01, 1.313248522515090e+00, 6.261739649339260e+00
212, 5.922153881113004e+01, 1.321363258915715e+00, 6.257704552268264e+00
213, 5.916661020405839e+01, 1.329677625892749e+00, 6.253809375200802e+00
214, 5.911142951059444e+01, 1.338231132355111e+00, 6.250030281041626e+00
215, 5.905632830398779e+01, 1.346956163141718e+00, 6.246393292867295e+00
216, 5.900205231325228e+01, 1.355725295968103e+00, 6.242948639392242e+00
217, 5.894824143570718e+01, 1.364586424528297e+00, 6.239672819176986e+00
218, 5.889450526001253e+01, 1.373597085231325e+00, 6.236544153844593e+00
219, 5.884042289031020e+01, 1.382824626346624e+00, 6.233544466128083e+00
220, 5.878589791232462e+01, 1.392285402389788e+00, 6.230677156545546e+00
221, 5.873124201270576e+01, 1.401925751913198e+00, 6.227967007590347e+00
222, 5.867687867555227e+01, 1.411670576643487e+00, 6.225441090213756e+00
223, 5.862291599808677e+01, 1.421497267440951e+00, 6.223108418028782e+00
224, 5.856904646013680e+01, 1.431454238717974e+00, 6.220960245763360e+00
225, 5.851494580583025e+01, 1.441592011154715e+00, 6.218991535860455e+00
226, 5.846066977435295e+01, 1.451892479219283e+00, 6.217214448715776e+00
227, 5.840654447652651e+01, 1.462285335816668e+00, 6.215648507270739e+00
228, 5.835285701029643e+01, 1.472712890568787e+00, 6.214308139992902e+00
229, 5.829972279576840e+01, 1.483149729765019e+00, 6.213200571978181e+00
230, 5.824698277401417e+01, 1.493623846115790e+00, 6.212327474508131e+00
231, 5.819422430541309e+01, 1.504216663010108e+00, 6.211691263659714e+00
232, 5.814104911592750e+01, 1.515010176078380e+00, 6.211302077656057e+00
233, 5.808727627562380e+01, 1.526042816454793e+00, 6.211180105135148e+00
234, 5.803288692265958e+01, 1.537317929851565e+00, 6.211350668142826e+00
235, 5.797804612049534e+01, 1.548801452643374e+00, 6.211840465841953e+00
236, 5.792316546737473e+01, 1.560404596272791e+00, 6.212672498644021e+00
237, 5.786863126199086e+01, 1.572048564244523e+00, 6.213863652925674e+00
238, 5.781465886742176e+01, 1.583696036465491e+00, 6.215429908682788e+00
239, 5.776129558379212e+01, 1.595348373850272e+00, 6.217391049147426e+00
240, 5.770831450977573e+01, 1.607059437126147e+00, 6.219779883422307e+00
241, 5.765528416467446e+01, 1.618917880429799e+00, 6.222649277907953e+00
242, 5.760185431770169e+01, 1.630999568176964e+00, 6.226067854837239e+00
243, 5.754801930140006e+01, 1.643304958622642e+00, 6.230097879235988e+00
244, 5.749406750542298e+01, 1.655765421209775e+00, 6.234784337202658e+00
245, 5.744044122471350e+01, 1.668281785675955e+00, 6.240154256301154e+00
246, 5.738756041004011e+01, 1.680780284140487e+00, 6.246232363152208e+00
247, 5.733558839376231e+01, 1.693224435869977e+00, 6.253071926173973e+00
248, 5.728451660604722e+01, 1.705614515339513e+00, 6.260774945502452e+00
249, 5.723421958698499e+01, 1.717976782173583e+00, 6.269523145545529e+00
250, 5.718498311951187e+01, 1.730203664433509e+00, 6.279510799978405e+00
251, 5.713663826829740e+01, 1.742303466745473e+00, 6.291156167046270e+00
252, 5.708961169397161e+01, 1.754145439976534e+00, 6.304946988948783e+00
253, 5.704475008390550e+01, 1.765488859060510e+00, 6.321437986804237e+00
254, 5.700384179103411e+01, 1.775906336890121e+00, 6.340863227796469e+00
255, 5.696934235235182e+01, 1.784768485869362e+00, 6.362467607359241e+00
256, 5.694351984864134e+01, 1.791446443726478e+00, 6.383851653539663e+00
257, 5.692570240534641e+01, 1.796076629766436e+00, 6.403130020994540e+00
258, 5.691358749285423e+01, 1.799238325447879e+00, 6.420022579608573e+00
259, 5.690542767922333e+01, 1.801374027388202e+00, 6.434564418863861e+00
260, 5.689995214067883e+01, 1.802817819685738e+00, 6.447042167577568e+00
261, 5.689634438063393e+01, 1.803772058262838e+00, 6.457615166076520e+00
262, 5.689402417086020e+01, 1.804390017698549e+00, 6.466468866493741e+00
263, 5.689257427171504e+01, 1.804779496175841e+00, 6.473805908715244e+00
264, 5.689170938760975e+01, 1.805014718836084e+00, 6.479800224165587e+00
265, 5.689121805523145e+01, 1.805151690640747e+00, 6.484630759859897e+00
266, 5.689094134315764e+01, 1.805231753407599e+00, 6.488716623470613e+00
267, 5.689079193025677e+01, 1.805278527316464e+00, 6.492684373457421e+00
